SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CC1=CSC(=N1)N2C(=O)C(C3=CC=CC(Br)=C3)N(C)C2=O,Z1868682768,366.234,366.234,1.724,-4.417,0,3,53.51,2,https://real.enamine.net/public-enum-files/Z1868682768
CC(C)(C)CNC=1C=CC=C(N1)C(=O)N2CCCC2CO,Z1838243307,291.389,291.389,2.11,-2.749,2,4,65.46,6,https://real.enamine.net/public-enum-files/Z1838243307
CS(=O)C=1C=CC=C(C1)NC(=O)N[C@H](CO)CC=2C=CC=CC2,Z1780440284,332.419,332.419,1.466,-3.007,3,3,78.43,8,https://real.enamine.net/public-enum-files/Z1780440284
CN(CC=1N=CC=C(N)N1)C2CCN(C2)C(=O)C=3C=CC=C(C3)OC4CCCC4,Z1761010152,395.499,395.499,2.224,-3.915,1,6,84.58,7,https://real.enamine.net/public-enum-files/Z1761010152
CC1=NC(=NO1)C2(CCC2)NC(=O)C(=O)NC3=CC=C(F)C=C3F,Z1894625076,336.294,336.294,0.429,-3.46,2,4,97.12,6,https://real.enamine.net/public-enum-files/Z1894625076
CC(C)(C#N)NS(=O)(=O)C=1C=CC(=CC1)CC(F)(F)F,Z1839775496,306.306,306.306,1.63,-3.64,1,3,69.96,5,https://real.enamine.net/public-enum-files/Z1839775496
O=C(O)C=1C=CC=CC1NC(=O)CSC2=NN=NN2C=3C=CC=CC3,Z19657273,355.373,355.373,3.01,-5.04,2,6,110.0,6,https://real.enamine.net/public-enum-files/Z19657273
CC=1N=C(COC=2C=CC(F)=CC2)SC1C(=O)NCC3=NC(=CS3)CO,Z1915521885,393.459,393.459,1.368,-3.252,2,5,84.34,7,https://real.enamine.net/public-enum-files/Z1915521885
CN1C=C(NC(=O)C2=CC=3CCC=4C=CC=CC4C3S2)C(=O)N(C)C1=O,Z1250517601,367.424,367.424,3.18,-4.75,1,3,69.72,2,https://real.enamine.net/public-enum-files/Z1250517601
CC(C)N1N=CC=C1NC(=O)C=2C=CC=C(C2)NC(=O)C3CC3,Z27203269,312.367,312.367,1.907,-3.272,2,3,76.02,7,https://real.enamine.net/public-enum-files/Z27203269
COC(=O)C1(CNC=2C=CC(=CN2)C(F)(F)F)CC1,Z1828898799,274.24,274.24,2.705,-2.131,1,3,51.22,6,https://real.enamine.net/public-enum-files/Z1828898799
CC=1C(=CC=CC1C(N)=O)NCC2=CN(N=N2)C=3C=CC(Cl)=CC3,Z1410853730,341.795,341.795,2.538,-4.2,2,4,85.83,5,https://real.enamine.net/public-enum-files/Z1410853730
CCOC=1C=CC(=CC1)NC(=O)NC=2C=CC(=CC2C)N3C=CC=N3,Z1830052255,336.389,336.389,3.951,-4.17,2,3,68.18,7,https://real.enamine.net/public-enum-files/Z1830052255
CCNC(=O)COC=1C=CC=C(C1)NC(=O)NC=2C=CC(=CC2C)N3C=CC=N3,Z1830191758,393.44,393.44,2.712,-4.13,3,4,97.28,7,https://real.enamine.net/public-enum-files/Z1830191758
CN1C=CN=C1[C@H]2OCC[C@@H]2NC(=O)C=3NN=C4CCCCC34,Z1756577358,315.371,315.371,0.705,-2.02,2,4,84.83,3,https://real.enamine.net/public-enum-files/Z1756577358
CN(C(=O)C=1C=CC=C(C1)N2C=CC=N2)C=3C=C(Cl)C=CC3C#N,Z1365460381,336.775,336.775,2.843,-4.694,0,3,61.92,4,https://real.enamine.net/public-enum-files/Z1365460381
O=C(N[C@H]1CCCO[C@@H]1C=2C=CN=CC2)C3=CCCCCC3,Z1756816551,300.396,300.396,2.093,-3.909,1,3,51.22,4,https://real.enamine.net/public-enum-files/Z1756816551
